canonical_smiles,standard_value,log_papp
Br.Cc1c2c(cc[n+]1Cc1ccccc1)c1ccc(OCC(=O)OCCCCOc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)cc1n2CCCc1ccccc1,0.05,-1.3010299956639813
Brc1ccc(-c2nc3ccc(Br)cn3n2)cc1,3.49,0.5428254269591799
Brc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1,5.9,0.7708520116421442
Brc1ccc(C2(CC3CCCC3)c3ccccc3-c3nccn32)cn1,25.0,1.3979400086720377
Brc1ccc(C2(CC3CCOCC3)c3ccccc3-c3nccn32)cc1,31.0,1.4913616938342726
Brc1ccc(C2(Cc3ccccc3)c3ccccc3-c3nccn32)cc1,10.0,1.0
Brc1ccc(C2(Cc3cccnc3)c3ccccc3-c3nccn32)cc1,31.0,1.4913616938342726
Brc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,5.1,0.7075701760979364
Brc1ccc(Cn2cc(CNC34CC5CC(CC(C5)C3)C4)nn2)cc1,8.75,0.9420080530223133
Brc1ccc(Cn2cc(CNC3CCCCCC3)nn2)cc1,6.72,0.8273692730538252
Brc1ccc2[nH]nc(C3=CCCNC3)c2c1,7.9,0.8976270912904415
Brc1ccc2c(c1)CCCc1nnc(C3CCN(c4ccccn4)CC3)n1-2,46.0,1.662757831681574
Brc1ccc2c(c1)CCCc1nnc([C@H]3CC[C@H](Oc4ccccn4)CC3)n1-2,29.0,1.462397997898956
Brc1ccc2oc(-c3ncc[nH]3)cc2c1.Cl,20.3,1.307496037913213
C#CC(=O)Nc1ccc(CCCCCC)cc1,621.0,2.79309160017658
C#CC(=O)Oc1ccc(CCCCCC)cc1,21.0,1.3222192947339193
C#CC1CCN(C(=O)c2cn(-c3ccc4scc(C)c4c3)c(=O)c3cc(OC)c(OC)cc23)CC1,34.900000000000006,1.54282542695918
C#CCCC[N+]1=C(/C=C/C2=C3Oc4cc(OC(=O)C5CC5)ccc4C=C3CCC2)C(C)(C)c2ccccc21.[I-],5.97,0.7759743311293691
C#CCCn1cc(Nc2nc(OC[C@H]3CN(C(=O)C=C)C[C@@H]3OC)c3c(Cl)c[nH]c3n2)cn1,7.0,0.8450980400142568
C#CCN(C)C1=C(Cl)C(=O)c2ccccc2C1=O,14.0,1.146128035678238
C#CCN(C)C1=CC(=O)c2ccccc2C1=O,18.5,1.2671717284030137
C#CCN(C)CCCCCCCCOc1ccc2c(c1)OCCC2=O,8.91,0.9498777040368748
C#CCN(C)CCCCCCOc1ccc(C(C)=O)cc1,8.69,0.9390197764486664
C#CCN(C)CCCCCCOc1ccc(C=O)c(OC)c1,11.18,1.0484418035504044
C#CCN(C)CCCCCCOc1ccc2c(c1)CCC2=O,12.85,1.1089031276673134
C#CCN(C)CCCCCCOc1ccc2c(c1)CCCC2=O,8.58,0.9334872878487055
C#CCN(C)CCCCCCOc1ccc2c(c1)OCC2=O,8.3,0.919078092376074
C#CCN(C)CCCCCCOc1ccc2c(c1)OCCC2=O,8.54,0.931457870689005
C#CCN(C)CCCCCOc1ccc(C(C)=O)cc1OC,12.94,1.1119342763326816
C#CCN(C)CCCCCOc1ccc(C=O)c(OC)c1,14.04,1.1473671077937864
C#CCN(C)CCCCCOc1ccc2c(c1)CCC2=O,10.91,1.0378247505883418
C#CCN(C)CCCCCOc1ccc2c(c1)CCCC2=O,10.63,1.0265332645232967
C#CCN(C)CCCCCOc1ccc2c(c1)OCCC2=O,10.25,1.0107238653917732
C#CCN(C)CCCCCOc1cccc(OC)c1,10.54,1.0228406108765278
C#CCN(C)CCCCOc1ccc(C(C)=O)cc1,10.63,1.0265332645232967
C#CCN(C)CCCCOc1ccc(C(C)=O)cc1OC,12.53,1.09795107099415
C#CCN(C)CCCCOc1ccc(C=O)c(OC)c1,13.14,1.118595365223762
C#CCN(C)CCCCOc1ccc2c(c1)CCC2=O,9.61,0.9827233876685453
C#CCN(C)CCCCOc1ccc2c(c1)CCCC2=O,8.7,0.9395192526186185
C#CCN(C)CCCCOc1ccc2c(c1)OCCC2=O,13.66,1.1354506993455138
C#CCN(C)CCCOc1ccc2c(c1)OCCC2=O,9.21,0.964259630196849
C#CCN(C)CCCc1cn(-c2cc(NC(=S)NCC)ncn2)cn1,3.98,0.5998830720736879
C#CCN(C)CCc1ccc(Cc2cn(C)nn2)cc1,4.5,0.6532125137753437
C#CCN(C)CCc1cn(-c2cc(NC(=S)NCC)ncn2)cn1,3.33,0.5224442335063199
C#CCN(C)CCc1cn(CCc2ccccc2)nn1,14.8,1.1702617153949575
C#CCN(C)CCc1cn(Cc2ccccc2)nn1,15.6,1.1931245983544616
C#CCN(C)CCc1nnn(-c2ccccc2)c1CC,17.0,1.2304489213782739
C#CCN(C)CCc1nnn(-c2ccccc2)c1CCC,17.2,1.235528446907549
C#CCN(C)CCc1nnn(-c2ccccc2)c1CCCC,21.4,1.3304137733491908
